Crypto,Price,24HrChange,24HrVol,Marketcap
Bitcoin,"$17,543.53",".css-yyku61{font-weight:var(--chakra-fontWeights-bold);color:var(--chakra-colors-green-500);}[data-theme=""dark""] .css-yyku61{color:var(--chakra-colors-green-500);}+1.81%",$20.1 B,$332.76 B
Ethereum,"$1,317.72",+3.05%,$5.55 B,$158.59 B
Tether,$1.02,+0.01%,$24.91 B,$65.5 B
BNB,$300.45,+1.64%,$738.41 M,$47.43 B
USD Coin,$1.00,".css-dg4gux{font-weight:var(--chakra-fontWeights-bold);color:var(--chakra-colors-red-500);}[data-theme=""dark""] .css-dg4gux{color:var(--chakra-colors-red-500);}-0.01%",$1.89 B,$43.44 B
Binance USD,$0.9999,+0.00%,$5.14 B,$22.14 B
XRP,$0.3974,+0.45%,$609.84 M,$19.7 B
Dogecoin,$0.1055,+0.33%,$667.5 M,$13.81 B
Cardano,$0.3295,+1.29%,$186.55 M,$11.19 B
Polygon,$0.9497,+2.32%,$217.39 M,$8.18 B
Polkadot,$5.81,+2.39%,$162.21 M,$6.5 B
Litecoin,$84.39,+8.62%,$629.26 M,$5.96 B
Dai,$1.01,-0.01%,$179.23 M,$5.69 B
Wrapped TRON,$0.05353,-0.66%,$1.24 M,$5.44 B
Shiba Inu,$0.00001001,+5.23%,$166.3 M,$5.39 B
HEX,$0.03003,+3.52%,$4.08 M,$5.21 B
Solana,$14.55,+3.12%,$219.46 M,$5.06 B
TRON,$0.05347,-0.57%,$200.76 M,$4.93 B
Uniswap,$6.49,+2.39%,$75.9 M,$4.84 B
Avalanche,$14.48,+3.69%,$173.07 M,$4.4 B
Lido stETH,"$1,255.24",+0.92%,$5.89 M,$4.38 B
Chainlink,$7.66,+1.96%,$218.4 M,$3.81 B
Wrapped Bitcoin,"$17,519.29",+1.90%,$77.94 M,$3.63 B
UNUS SED LEO,$3.80,-0.08%,$3.45 M,$3.62 B
Cosmos,$10.73,+3.64%,$104.01 M,$3 B
Ethereum Classic,$20.22,+2.27%,$117.58 M,$2.74 B
Monero,$144.54,-1.01%,$70.93 M,$2.63 B
Stellar,$0.09017,+1.23%,$34.81 M,$2.26 B
Toncoin,$1.81,+0.60%,$3.78 M,$2.21 B
Bitcoin Cash,$116.71,+3.33%,$159.38 M,$2.21 B
Cronos,$0.07488,+15.20%,$98.67 M,$1.86 B
Algorand,$0.2456,+1.41%,$55.15 M,$1.72 B
Quant,$132.23,+2.22%,$28.67 M,$1.57 B
Filecoin,$4.69,+2.03%,$83.38 M,$1.52 B
ApeCoin,$4.30,+6.12%,$157.75 M,$1.52 B
NEAR Protocol,$1.79,+3.54%,$72.41 M,$1.47 B
VeChain,$0.02003,+1.42%,$27.54 M,$1.41 B
OKB,$21.97,+0.98%,$13.04 M,$1.32 B
Internet Computer,$4.57,+7.50%,$36.47 M,$1.23 B
Flow,$1.14,+3.26%,$44.26 M,$1.17 B
Hedera,$0.05181,+2.09%,$14.14 M,$1.12 B
Wrapped BNB,$297.14,+1.86%,$66.84 M,$1.13 B
Luna Classic,$0.0001964,-0.32%,$80.01 M,$1.06 B
Huobi Token,$6.78,+0.42%,$14.67 M,$1.04 B
Elrond,$44.14,+0.27%,$16.51 M,$1.04 B
Chiliz,$0.171,+0.34%,$110.94 M,$1.03 B
Frax,$1.00,+0.46%,$3.4 M,$1.02 B
EOS,$0.9672,+1.75%,$85.75 M,$1.02 B
Trust Wallet Token,$2.39,+1.06%,$67.93 M,$995.65 M
Pax Dollar,$0.9998,-0.04%,$1.08 M,$945.5 M
